,pressure,mean,std,variance
0,321.1715101278462,,,
1,320.6370000942438,,,
2,320.1024900606414,,,
3,319.56798002703897,,,
4,319.03346999343654,,,
5,318.4989599598341,,,
6,317.96444992623174,,,
7,317.4299398926293,,,
8,316.8954298590269,,,
9,316.3609198254245,,,
10,315.8264097918221,,,
11,315.29189975821964,,,
12,314.7573897246172,,,
13,314.22287969101484,,,
14,313.6883696574124,,,
15,313.15385962381,,,
16,312.61934959020755,,,
17,312.0848395566052,,,
18,311.55032952300274,,,
19,311.0158194894003,,,
20,310.48130945579794,,,
21,309.9467994221955,,,
22,309.4122893885931,,,
23,308.87777935499065,,,
24,308.3432693213883,,,
25,307.80875928778585,,,
26,307.2742492541834,,,
27,306.73973922058104,,,
28,306.2052291869786,,,
29,305.6707191533762,,,
30,305.13620911977375,,,
31,304.6016990861714,,,
32,304.06718905256895,,,
33,303.5326790189665,,,
34,302.99816898536415,,,
35,302.4636589517617,,,
36,301.9291489181593,,,
37,301.39463888455685,,,
38,300.8601288509545,,,
39,300.32561881735205,,,
40,299.7911087837496,,,
41,299.2565987501472,,,
42,298.7220887165448,,,
43,298.1875786829424,,,
44,297.65306864933996,,,
45,297.1185586157376,,,
46,296.58404858213515,,,
47,296.0495385485327,,,
48,295.5150285149303,,,
49,294.9805184813279,,,
50,294.4460084477255,,,
51,293.91149841412306,,,
52,293.37698838052063,,,
53,292.84247834691826,,,
54,292.3079683133158,,,
55,291.7734582797134,,,
56,291.238948246111,,,
57,290.7044382125086,,,
58,290.16992817890616,,,
59,289.6354181453038,,,
60,289.10090811170136,,,
61,288.5663980780989,,,
62,288.0318880444965,,,
63,287.4973780108941,,,
64,286.9628679772917,,,
65,286.42835794368926,,,
66,285.89384791008683,,,
67,285.35933787648446,,,
68,284.82482784288203,,,
69,284.2903178092796,,,
70,283.7558077756772,,,
71,283.2212977420748,,,
72,282.68678770847237,,,
73,282.15227767486994,,,
74,281.61776764126756,,,
75,281.08325760766513,,,
76,280.5487475740627,,,
77,280.0142375404603,,,
78,279.4797275068579,,,
79,278.94521747325547,,,
80,278.41070743965304,,,
81,277.87619740605066,,,
82,277.34168737244823,,,
83,276.8071773388458,,,
84,276.27266730524343,,,
85,275.738157271641,,,
86,275.20364723803857,,,
87,274.66913720443614,,,
88,274.13462717083377,,,
89,273.60011713723134,,,
90,273.0656071036289,,,
91,272.5310970700265,,,
92,271.9965870364241,,,
93,271.4620770028217,,,
94,270.92756696921924,,,
95,270.39305693561687,,,
96,269.85854690201444,,,
97,269.324036868412,,,
98,268.7895268348096,,,
99,268.2550168012072,,,
100,267.7205067676048,,,
101,267.18599673400234,,,
102,266.6514867003999,,,
103,266.11697666679754,,,
104,265.5824666331951,,,
105,265.0479565995927,,,
106,264.5134465659903,,,
107,263.9789365323879,,,
108,263.44442649878545,,,
109,262.9099164651831,,,
110,262.37540643158064,,,
111,261.8408963979782,,,
112,261.3063863643758,,,
113,260.77187633077335,,,
114,260.237366297171,,,
115,259.70285626356855,,,
116,259.1683462299661,,,
117,258.63383619636375,,,
118,258.0993261627613,,,
119,257.5648161291589,,,
120,257.0303060955565,,,
121,256.4957960619541,,,
122,255.96128602835165,,,
123,255.42677599474922,,,
124,254.89226596114685,,,
125,254.35775592754442,,,
126,253.823245893942,,,
127,253.28873586033959,,,
128,252.75422582673718,,,
129,252.21971579313475,,,
130,251.68520575953232,,,
131,251.15069572592992,,,
132,250.61618569232752,,,
133,250.0816756587251,,,
134,249.5471656251227,,,
135,249.01265559152029,,,
136,248.47814555791786,,,
137,247.94363552431543,,,
138,247.40912549071302,,,
139,246.87461545711062,,,
140,246.3401054235082,,,
141,245.8055953899058,,,
142,245.2710853563034,,,
143,244.73657532270096,,,
144,244.20206528909853,,,
145,243.66755525549613,,,
146,243.13304522189372,,,
147,242.5985351882913,,,
148,242.06402515468886,,,
149,241.52951512108646,,,
150,240.99500508748406,,,
151,240.46049505388163,,,
152,239.92598502027923,,,
153,239.39147498667683,,,
154,238.8569649530744,,,
155,238.32245491947197,,,
156,237.78794488586956,,,
157,237.25343485226716,,,
158,236.71892481866473,,,
159,236.18441478506233,,,
160,235.64990475145993,,,
161,235.1153947178575,,,
162,234.58088468425507,,,
163,234.04637465065267,,,
164,233.51186461705026,,,
165,232.97735458344783,,,
166,232.4428445498454,,,
167,231.90833451624303,,,
168,231.3738244826406,,,
169,230.83931444903817,,,
170,230.30480441543577,,,
171,229.77029438183337,,,
172,229.23578434823094,,,
173,228.7012743146285,,,
174,228.1667642810261,,,
175,227.6322542474237,,,
176,227.09774421382127,,,
177,226.56323418021887,,,
178,226.02872414661647,,,
179,225.49421411301404,,,
180,224.9597040794116,,,
181,224.4251940458092,,,
182,223.8906840122068,,,
183,223.35617397860437,,,
184,222.82166394500197,,,
185,222.28715391139957,,,
186,221.75264387779714,,,
187,221.2181338441947,,,
188,220.6836238105923,,,
189,220.1491137769899,,,
190,219.61460374338748,,,
191,219.08009370978505,,,
192,218.54558367618264,,,
193,218.01107364258024,,,
194,217.4765636089778,,,
195,216.9420535753754,,,
196,216.407543541773,,,
197,215.87303350817058,,,
198,215.33852347456815,,,
199,214.80401344096575,,,
200,214.26950340736335,,,
201,213.73499337376091,,,
202,213.2004833401585,,,
203,212.6659733065561,,,
204,212.13146327295368,,,
205,211.59695323935125,,,
206,211.06244320574885,,,
207,210.52793317214645,,,
208,209.99342313854402,,,
209,209.4589131049416,,,
210,208.9244030713392,,,
211,208.38989303773678,,,
212,207.85538300413435,,,
213,207.32087297053195,,,
214,206.78636293692955,,,
215,206.25185290332712,,,
216,205.7173428697247,,,
217,205.1828328361223,,,
218,204.64832280251989,,,
219,204.11381276891746,,,
220,203.57930273531505,,,
221,203.04479270171265,,,
222,202.51028266811022,,,
223,201.9757726345078,,,
224,201.4412626009054,,,
225,200.906752567303,,,
226,200.37224253370056,,,
227,199.83773250009816,,,
228,199.30322246649575,,,
229,198.76871243289332,,,
230,198.2342023992909,,,
231,197.6996923656885,,,
232,197.1651823320861,,,
233,196.63067229848366,,,
234,196.09616226488123,,,
235,195.56165223127886,,,
236,195.02714219767643,,,
237,194.492632164074,,,
238,193.9581221304716,,,
239,193.4236120968692,,,
240,192.88910206326676,,,
241,192.35459202966436,,,
242,191.82008199606193,,,
243,191.28557196245953,,,
244,190.7510619288571,,,
245,190.2165518952547,,,
246,189.68204186165227,,,
247,189.14753182804986,,,
248,188.61302179444746,,,
249,188.07851176084503,,,
250,187.54400172724263,,,
251,187.0094916936402,,,
252,186.4749816600378,,,
253,185.94047162643537,,,
254,185.40596159283297,,,
255,184.87145155923054,,,
256,184.33694152562813,,,
257,183.80243149202573,,,
258,183.2679214584233,,,
259,182.7334114248209,,,
260,182.19890139121847,,,
261,181.66439135761607,,,
262,181.12988132401364,,,
263,180.59537129041124,,,
264,180.0608612568088,,,
265,179.5263512232064,,,
266,178.991841189604,,,
267,178.45733115600157,,,
268,177.92282112239917,,,
269,177.38831108879674,,,
270,176.85380105519434,,,
271,176.3192910215919,,,
272,175.7847809879895,,,
273,175.25027095438708,,,
274,174.71576092078467,,,
275,174.18125088718227,,,
276,173.64674085357984,,,
277,173.11223081997744,,,
278,172.577720786375,,,
279,172.0432107527726,,,
280,171.50870071917018,,,
281,170.97419068556778,,,
282,170.43968065196538,,,
283,169.90517061836294,,,
284,169.37066058476054,,,
285,168.8361505511581,,,
286,168.3016405175557,,,
287,167.76713048395328,,,
288,167.23262045035088,,,
289,166.69811041674845,,,
290,166.16360038314605,,,
291,165.62909034954365,,,
292,165.09458031594122,,,
293,164.5600702823388,,,
294,164.02556024873638,,,
295,163.49105021513398,,,
296,162.95654018153155,,,
297,162.42203014792915,,,
298,161.88752011432672,,,
299,161.35301008072432,,,
300,160.81850004712192,,,
301,160.28399001351949,,,
302,159.74947997991708,,,
303,159.21496994631465,,,
304,158.68045991271225,,,
305,158.14594987910982,,,
306,157.61143984550742,,,
307,157.076929811905,,,
308,156.5424197783026,,,
309,156.00790974470019,,,
310,155.47339971109776,,,
311,154.93888967749535,,,
312,154.40437964389292,,,
313,153.86986961029052,,,
314,153.3353595766881,,,
315,152.8008495430857,,,
316,152.2663395094833,,,
317,151.73182947588086,,,
318,151.19731944227846,,,
319,150.66280940867603,,,
320,150.12829937507362,,,
321,149.5937893414712,,,
322,149.0592793078688,,,
323,148.52476927426636,,,
324,147.99025924066396,,,
325,147.45574920706156,,,
326,146.92123917345913,,,
327,146.38672913985673,,,
328,145.8522191062543,,,
329,145.3177090726519,,,
330,144.78319903904946,,,
331,144.24868900544706,,,
332,143.71417897184463,,,
333,143.17966893824223,,,
334,142.64515890463983,,,
335,142.1106488710374,,,
336,141.576138837435,,,
337,141.04162880383257,,,
338,140.50711877023016,,,
339,139.97260873662773,,,
340,139.43809870302533,,,
341,138.9035886694229,,,
342,138.3690786358205,,,
343,137.8345686022181,,,
344,137.30005856861567,,,
345,136.76554853501327,,,
346,136.23103850141084,,,
347,135.69652846780843,,,
348,135.162018434206,,,
349,134.6275084006036,,,
350,134.0929983670012,,,
351,133.55848833339877,,,
352,133.02397829979637,,,
353,132.48946826619394,,,
354,131.95495823259154,,,
355,131.4204481989891,,,
356,130.8859381653867,,,
357,130.35142813178427,,,
358,129.81691809818187,,,
359,129.28240806457947,,,
360,128.74789803097704,,,
361,128.21338799737464,,,
362,127.67887796377221,,,
363,127.1443679301698,,,
364,126.60985789656738,,,
365,126.07534786296497,,,
366,125.54083782936254,,,
367,125.00632779576014,,,
368,124.47181776215774,,,
369,123.93730772855531,,,
370,123.40279769495291,,,
371,122.86828766135048,,,
372,122.33377762774808,,,
373,121.79926759414565,,,
374,121.26475756054325,,,
375,120.73024752694081,,,
376,120.19573749333841,,,
377,119.66122745973601,,,
378,119.12671742613358,,,
379,118.59220739253118,,,
380,118.05769735892875,,,
381,117.52318732532635,,,
382,116.98867729172392,,,
383,116.45416725812152,,,
384,115.91965722451909,,,
385,115.38514719091668,,,
386,114.85063715731428,,,
387,114.31612712371185,,,
388,113.78161709010945,,,
389,113.24710705650702,,,
390,112.71259702290462,,,
391,112.17808698930219,,,
392,111.64357695569979,,,
393,111.10906692209738,,,
394,110.57455688849495,,,
395,110.04004685489255,,,
396,109.50553682129012,,,
397,108.97102678768772,,,
398,108.43651675408529,,,
399,107.90200672048289,,,
400,107.36749668688046,,,
401,106.83298665327806,,,
402,106.29847661967565,,,
403,105.76396658607322,,,
404,105.22945655247082,,,
405,104.69494651886839,,,
406,104.16043648526599,,,
407,103.62592645166356,,,
408,103.09141641806116,,,
409,102.55690638445873,,,
410,102.02239635085633,,,
411,101.48788631725392,,,
412,100.9533762836515,,,
413,100.41886625004909,,,
414,99.88435621644666,,,
415,99.34984618284426,,,
416,98.81533614924183,,,
417,98.28082611563943,,,
418,97.746316082037,,,
419,97.2118060484346,,,
420,96.6772960148322,,,
421,96.14278598122976,,,
422,95.60827594762736,,,
423,95.07376591402493,,,
424,94.53925588042253,,,
425,94.0047458468201,,,
426,93.4702358132177,,,
427,92.9357257796153,,,
428,92.40121574601287,,,
429,91.86670571241046,,,
430,91.33219567880803,,,
431,90.79768564520563,,,
432,90.2631756116032,,,
433,89.7286655780008,,,
434,89.19415554439837,,,
435,88.65964551079597,,,
436,88.12513547719357,,,
437,87.59062544359114,,,
438,87.05611540998873,,,
439,86.5216053763863,,,
440,85.9870953427839,,,
441,85.45258530918147,,,
442,84.91807527557907,,,
443,84.38356524197664,,,
444,83.84905520837424,,,
445,83.31454517477184,,,
446,82.7800351411694,,,
447,82.245525107567,,,
448,81.71101507396457,,,
449,81.17650504036217,,,
450,80.64199500675974,,,
451,80.10748497315734,,,
452,79.57297493955491,,,
453,79.03846490595251,,,
454,78.5039548723501,,,
455,77.96944483874768,,,
456,77.43493480514528,,,
457,76.90042477154284,,,
458,76.36591473794044,,,
459,75.83140470433801,,,
460,75.29689467073561,,,
461,74.76238463713321,,,
462,74.22787460353078,,,
463,73.69336456992838,,,
464,73.15885453632595,,,
465,72.62434450272355,,,
466,72.08983446912112,,,
467,71.55532443551871,,,
468,71.02081440191628,,,
469,70.48630436831388,,,
470,69.95179433471148,,,
471,69.41728430110905,,,
472,68.88277426750665,,,
473,68.34826423390422,,,
474,67.81375420030182,,,
475,67.27924416669939,,,
476,66.74473413309698,,,
477,66.21022409949455,,,
478,65.67571406589215,,,
479,65.14120403228975,,,
480,64.60669399868732,,,
481,64.07218396508489,,,
482,63.537673931482516,,,
483,63.003163897880086,,,
484,62.468653864277655,,,
485,61.934143830675225,,,
486,61.39963379707285,,,
487,60.86512376347042,,,
488,60.33061372986799,,,
489,59.79610369626562,,,
490,59.26159366266319,,,
491,58.72708362906076,,,
492,58.19257359545833,,,
493,57.658063561855954,,,
494,57.123553528253524,,,
495,56.589043494651094,,,
496,56.05453346104872,,,
497,55.52002342744629,,,
498,54.98551339384386,,,
499,54.45100336024143,,,
500,53.916493326639056,,,
501,53.381983293036626,,,
502,52.847473259434196,,,
503,52.312963225831766,,,
504,51.77845319222939,,,
505,51.24394315862696,,,
506,50.70943312502453,,,
507,50.17492309142216,,,
508,49.64041305781973,,,
509,49.1059030242173,,,
510,48.57139299061487,,,
511,48.036882957012494,,,
512,47.502372923410064,,,
513,46.967862889807634,,,
514,46.43335285620526,,,
515,45.89884282260283,,,
516,45.3643327890004,,,
517,44.82982275539797,,,
518,44.2953127217956,,,
519,43.760802688193166,,,
520,43.226292654590736,,,
521,42.69178262098836,,,
522,42.15727258738593,,,
523,41.6227625537835,,,
524,41.08825252018107,,,
525,40.5537424865787,,,
526,40.01923245297627,,,
527,39.48472241937384,,,
528,38.95021238577141,,,
529,38.415702352169035,,,
530,37.881192318566605,,,
531,37.346682284964174,,,
532,36.8121722513618,,,
533,36.27766221775937,,,
534,35.74315218415694,,,
535,35.20864215055451,,,
536,34.67413211695214,,,
537,34.13962208334971,,,
538,33.60511204974728,,,
539,33.0706020161449,,,
540,32.53609198254247,,,
541,32.00158194894004,,,
542,31.467071915337613,,,
543,30.93256188173524,,,
544,30.39805184813281,,,
545,29.86354181453038,,,
546,29.32903178092795,,,
547,28.794521747325575,,,
548,28.260011713723145,,,
549,27.725501680120715,,,
550,27.19099164651834,,,
551,26.65648161291591,,,
552,26.12197157931348,,,
553,25.58746154571105,,,
554,25.052951512108677,,,
555,24.518441478506247,,,
556,23.983931444903817,,,
557,23.449421411301444,,,
558,22.914911377699013,,,
559,22.380401344096583,,,
560,21.845891310494153,,,
561,21.31138127689178,,,
562,20.77687124328935,,,
563,20.24236120968692,,,
564,19.707851176084546,,,
565,19.173341142482116,,,
566,18.638831108879685,,,
567,18.104321075277255,,,
568,17.569811041674882,,,
569,17.03530100807245,,,
570,16.50079097447002,,,
571,15.966280940867591,,,
572,15.431770907265218,,,
573,14.897260873662788,,,
574,14.362750840060357,,,
575,13.828240806457984,,,
576,13.293730772855554,,,
577,12.759220739253124,,,
578,12.224710705650693,,,
579,11.69020067204832,,,
580,11.15569063844589,,,
581,10.62118060484346,,,
582,10.086670571241086,,,
583,9.552160537638656,,,
584,9.017650504036226,,,
585,8.483140470433796,,,
586,7.948630436831422,,,
587,7.414120403228992,,,
588,6.879610369626562,,,
589,6.345100336024188,,,
590,5.810590302421758,,,
591,5.276080268819328,,,
592,4.741570235216898,,,
593,4.207060201614524,,,
594,3.672550168012094,,,
595,3.138040134409664,,,
596,2.603530100807234,,,
597,2.0690200672048604,,,
598,1.5345100336024302,,,
599,1.0,,,
